"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","emitent_ukr_fullname","dnt_objectType_encoded","emitent_ua_middlename","emitent_ua_lastname","dnt_is_foreign","emitent_eng_company_address","dateOrigin","emitent_ua_company_name","emitent_ukr_company_address","emitent_ua_firstname","person","emitent_ukr_company_name","emitent_ua_sameRegLivingAddress","ownerThirdPerson","guarantor_exist_","ownerThirdPersonThing","sizeObligation","emitent_eng_fullname","emitent_eng_company_name","guarantor_realty_exist_","dnt_sizeObligation_hidden","currency","emitent_eng_company_code","margin.emitent","emitent_ua_company_code","otherObjectType","iteration","objectType","emitent_citizen","object_id","emitent_ua_taxNumber_extendedstatus","emitent_ua_regAddress_extendedstatus","emitent_ua_actualAddress_extendedstatus","emitent_ua_birthday_extendedstatus","emitent_ua_company_code_extendedstatus","emitent_eng_company_code_extendedstatus","emitent_eng_taxNumber_extendedstatus","margin.emitent_extendedstatus","dateOrigin_extendedstatus","emitent_ukr_regAddress_extendedstatus","emitent_eng_regAddress_extendedstatus","emitent_ua_middlename_extendedstatus","emitent_ukr_company_address_extendedstatus","emitent_eng_company_address_extendedstatus","declarant","subjectRelation","in_hryvnias"
"Єдаков Ярослав Юрійович","Управління справами Верховної Ради України","народний депутат України","nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Єдаков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Ярослав","","informal_loans","Іванівна","Мартинюк","FALSE","",2017-10-03,"","","Світлана","1","","FALSE","","FALSE","",50000,"","","FALSE","FALSE","UAH","","j","","","1521449453111","Кошти, позичені суб'єкту декларування або члену його сім'ї іншими особами","Громадянин України","1521449453111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єдаков Ярослав Юрійович",NA,50000
"Єдаков Ярослав Юрійович","Управління справами Верховної Ради України","народний депутат України","nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Єдаков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Ярослав","","loans_paid","","","FALSE","",2013-01-31,"ПАТ КБ ПРИВАТБАНК","","","1","","","","FALSE","",5915,"","","FALSE","FALSE","UAH","","j","14360570","","1473777735518","Розмір сплачених коштів в рахунок процентів за позикою (кредитом)","Юридична особа, зареєстрована в Україні","1473777735518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єдаков Ярослав Юрійович",NA,5915
"Єдаков Ярослав Юрійович","Управління справами Верховної Ради України","народний депутат України","nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Єдаков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Ярослав","","informal_loans","Юрійович","Слобоженко","FALSE","",2017-06-30,"","","Дмитро","1","","FALSE","","FALSE","",50000,"","","FALSE","FALSE","UAH","","j","","","1521624318870","Кошти, позичені суб'єкту декларування або члену його сім'ї іншими особами","Громадянин України","1521624318870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єдаков Ярослав Юрійович",NA,50000
"Єдаков Ярослав Юрійович","Управління справами Верховної Ради України","народний депутат України","nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Єдаков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Ярослав","","loans_paid","","","FALSE","",2013-01-31,"ПАТ КБ ""ПРИВАТБАНК""","","","1","","","","FALSE","",88962,"","","FALSE","FALSE","UAH","","j","14360570","","1473774248886","Розмір сплачених коштів в рахунок основної суми позики (кредиту)","Юридична особа, зареєстрована в Україні","1473774248886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єдаков Ярослав Юрійович",NA,88962
"Єдаков Ярослав Юрійович","Управління справами Верховної Ради України","народний депутат України","nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Єдаков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Ярослав","","informal_loans","Іванівна","Мартинюк","FALSE","",2017-09-30,"","","Світлана","1","","FALSE","","FALSE","",50000,"","","FALSE","FALSE","UAH","","j","","","1521448886614","Кошти, позичені суб'єкту декларування або члену його сім'ї іншими особами","Громадянин України","1521448886614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єдаков Ярослав Юрійович",NA,50000
"Єдаков Ярослав Юрійович","Управління справами Верховної Ради України","народний депутат України","nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Єдаков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b2b4dab6-93b2-4ffc-9402-20db1892d14c","Ярослав","","informal_loans","Юрійович","Слобоженко","FALSE","",2017-07-20,"","","Дмитро","1","","FALSE","","FALSE","",50000,"","","FALSE","FALSE","UAH","","j","","","1521624452662","Кошти, позичені суб'єкту декларування або члену його сім'ї іншими особами","Громадянин України","1521624452662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єдаков Ярослав Юрійович",NA,50000
"Єднак Остап Володимирович","Верховна Рада України","Народний депутат України","nacp_b08c1046-1270-429e-a0a0-12a638b9d9c8","Єднак","FALSE","Володимирович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b08c1046-1270-429e-a0a0-12a638b9d9c8","Остап","","informal_loans","Олександрович","Жук","FALSE","",2017-12-03,"","","Олександр","1486368050927","","FALSE","","FALSE","",14000,"","","FALSE","FALSE","USD","","j","","","1518513897345","Кошти, позичені суб'єкту декларування або члену його сім'ї іншими особами","Громадянин України","1518513897345",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єднак Світлана Миколаївна","дружина",392941.12
"Єднак Остап Володимирович","Верховна Рада України","Народний депутат України","nacp_b08c1046-1270-429e-a0a0-12a638b9d9c8","Єднак","FALSE","Володимирович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b08c1046-1270-429e-a0a0-12a638b9d9c8","Остап","","other","Юлійович","Мадярчик","FALSE","",2017-12-04,"","","Михайло","1486368050927","","FALSE","","FALSE","",23755,"","","FALSE","FALSE","USD","","j","","зобов'язання за договорами купівлі-продажу майнових прав на квартиру","1518517350103","Інше","Громадянин України","1518517350103",NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єднак Світлана Миколаївна","дружина",666736.88
"Єфімов Максим Вікторович","Верховна Рада","Народний депутат України","nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Єфімов","FALSE","Вікторович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Максим","","other","","","TRUE","MDE's Buiding, 1st Floor, Road Town, Tortola, British Virgin Islands",2007-12-14,"","МДЄ с Білдінг, 1 поверх, Род-Таун, Тортола, Британські Віргінські острови ","","1","ТОВ ""Стретеджі інвест групп Инк.""","","","FALSE","",50000,"","Strategy Invest Group Inc, LTD ","FALSE","FALSE","USD","1450705","j","","за частку в уставному капітале",NA,"Інше","Юридична особа, зареєстрована за кордоном","1477545875368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єфімов Максим Вікторович",NA,1403361.15
"Єфімов Максим Вікторович","Верховна Рада","Народний депутат України","nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Єфімов","FALSE","Вікторович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Максим","","other","","","TRUE","MDE's Buiding, 1st Floor, Road Town, Tortola, British Virgin Islands",2012-07-05,"","МДЄ с Білдінг, 1 поверх, Род-Таун, Тортола, Британські Віргінські острови ","","1","ТОВ ""Укрмашгруп Инк.""","","","FALSE","",50000,"","Ukrmash Group Inc LTD","FALSE","FALSE","USD","1721704","j","","за частку в уставном капітале",NA,"Інше","Юридична особа, зареєстрована за кордоном","1477547074264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єфімов Максим Вікторович",NA,1403361.15
"Єфімов Максим Вікторович","Верховна Рада","Народний депутат України","nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Єфімов","FALSE","Вікторович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Максим","","other","","","TRUE","MDE's Buiding, 1st Floor, Road Town, Tortola, British Virgin Islands",2012-08-24,"","МДЄ с Білдінг, 1 поверх, Род-Таун, Тортола, Британські Віргінські острови ","","1","ТОВ ""Холд Активіті Груп""","","","FALSE","",50000,"","Hold Activity Group LTD","FALSE","FALSE","USD","1730292","j","","за частку в уставном капітале",NA,"Інше","Юридична особа, зареєстрована за кордоном","1477546904306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єфімов Максим Вікторович",NA,1403361.15
"Єфімов Максим Вікторович","Верховна Рада","Народний депутат України","nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Єфімов","FALSE","Вікторович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Максим","","loans_paid","","","FALSE","",2017-12-31,"ПАТ КБ ""Приватбанк""","","","1","","","","FALSE","",2159419,"","","FALSE","FALSE","UAH","","j","14360570","","1477315166530","Розмір сплачених коштів в рахунок основної суми позики (кредиту)","Юридична особа, зареєстрована в Україні","1477315166530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єфімов Максим Вікторович",NA,2159419
"Єфімов Максим Вікторович","Верховна Рада","Народний депутат України","nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Єфімов","FALSE","Вікторович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Максим","","loans_received","","","FALSE","",2017-12-31,"ПАТ КБ ""Приватбанк""","","","1","","","","FALSE","",100497,"","","FALSE","FALSE","UAH","","j","14360570","","1522053267806","Отримані кредити","Юридична особа, зареєстрована в Україні","1522053267806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єфімов Максим Вікторович",NA,100497
"Єфімов Максим Вікторович","Верховна Рада","Народний депутат України","nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Єфімов","FALSE","Вікторович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Максим","","loans_paid","","","FALSE","",2017-12-31,"ПАТ ""Промінвестбанк""","","","1","","","","FALSE","",1674,"","","FALSE","FALSE","UAH","","j","00039002","","1477315504629","Розмір сплачених коштів в рахунок процентів за позикою (кредитом)","Юридична особа, зареєстрована в Україні","1477315504629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єфімов Максим Вікторович",NA,1674
"Єфімов Максим Вікторович","Верховна Рада","Народний депутат України","nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Єфімов","FALSE","Вікторович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2a4fe4ac-3364-4702-b7f3-0fcac4eb1719","Максим","","loans_paid","","","FALSE","",2017-12-31,"ПАТ КБ ""Приватбанк""","","","1","","","","FALSE","",472,"","","FALSE","FALSE","UAH","","j","14360570","","1477315423297","Розмір сплачених коштів в рахунок процентів за позикою (кредитом)","Юридична особа, зареєстрована в Україні","1477315423297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Єфімов Максим Вікторович",NA,472
"Загорій Гліб Володимирович","Верховна Рада України","Народний депутат України","nacp_66d0fd4e-79e7-42e3-9f01-ef2887e91a5d","Загорій","FALSE","Володимирович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_66d0fd4e-79e7-42e3-9f01-ef2887e91a5d","Гліб","","other","","","TRUE","Chancery Hall, 52 Reid Street, Hamilton, HM12, Bermuda",2017-12-31,"","Ченсері Холл, Рейд-Стріт 52, Гамільтон НМ12, Бермудські Острови","","1","Компанія з обмеженою відповідальністю Блекмонт Лімітед","","","FALSE","",840000,"","Blackmont Limited","FALSE","FALSE","UAH","47986","j","","Зобов'язання за договором","1490968932732","Інше","Юридична особа, зареєстрована за кордоном","1490968932732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Загорій Гліб Володимирович",NA,840000
"Загорій Гліб Володимирович","Верховна Рада України","Народний депутат України","nacp_66d0fd4e-79e7-42e3-9f01-ef2887e91a5d","Загорій","FALSE","Володимирович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_66d0fd4e-79e7-42e3-9f01-ef2887e91a5d","Гліб","","other","","","FALSE","",2017-12-31,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СЛУЖБА БЕЗПЕКИ ""АЛХАМБРА""","","","1","","","","FALSE","",367200,"","","FALSE","FALSE","UAH","","j","35480160","Зобов'язання за договором","1522237121061","Інше","Юридична особа, зареєстрована в Україні","1522237121061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Загорій Гліб Володимирович",NA,367200
"Заліщук Світлана Петрівна","Верховна Рада України","Народний Депутат","nacp_83d1f53e-1ff3-49a4-87d0-0ce7b72d4d19","Заліщук","FALSE","Петрівна",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_83d1f53e-1ff3-49a4-87d0-0ce7b72d4d19","Світлана","Вейн Джордаш","other","","","TRUE","",2017-02-02,"","","","1","","","","FALSE","",4500000,"Wayne Jordash","","TRUE","FALSE","UAH","","j","","Грошове зобов'язання","1490895218132","Інше","Іноземний громадянин","1490895218132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Заліщук Світлана Петрівна",NA,4500000
"Звягільський Юхим Леонідович","Верховна Рада України","Народний депутат України, член Комітету Верховної Ради України з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки","nacp_f34bd828-73dc-4e0a-ae13-02fe6ac9e7aa","Звягільський","FALSE","Леонідович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f34bd828-73dc-4e0a-ae13-02fe6ac9e7aa","Юхим","","other","","","FALSE","",2015-06-03,"ТОВ ""ЮЗГАЗ""","","","1","","","","FALSE","",670000,"","","FALSE","FALSE","UAH","","j","39817126","не внесений статутний капітал","1477665211600","Інше","Юридична особа, зареєстрована в Україні","1477665211600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Звягільський Юхим Леонідович",NA,670000
"Зубач Любомир Львович","Верховна Рада України","Народний депутат України","nacp_e803dd9b-20f4-4b1a-9f49-b43ffceb5086","Зубач","TRUE","Львович",2018-04-07,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_e803dd9b-20f4-4b1a-9f49-b43ffceb5086","Любомир","","loans_received","","","FALSE","",2011-11-29,"Львівське регіональне управління Державної спеціалізованої установи ""Державний фонд сприяння молодіжному житловому будівництву""","","","1","","","","FALSE","",183173,"","","TRUE","FALSE","UAH","","j","25553935","","1477626417140","Отримані кредити","Юридична особа, зареєстрована в Україні","1477626417140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Зубач Любомир Львович",NA,183173
"Зубик Володимир Володимирович","Верховна Рада України","Народний депутат України","nacp_426e307e-8117-44a6-a1cd-b80a3757c364","Зубик","TRUE","Володимирович",2018-03-07,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_426e307e-8117-44a6-a1cd-b80a3757c364","Володимир","","loans_received","Аркадійович","Спітковський","FALSE","",2015-05-08,"","","Дмитро","1","","FALSE","","FALSE","",10000,"","","FALSE","FALSE","EUR","","j","","","1477513481726","Отримані позики","Громадянин України","1477513481726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Зубик Володимир Володимирович",NA,334954.24
"Зубик Володимир Володимирович","Верховна Рада України","Народний депутат України","nacp_426e307e-8117-44a6-a1cd-b80a3757c364","Зубик","TRUE","Володимирович",2018-03-07,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_426e307e-8117-44a6-a1cd-b80a3757c364","Володимир","","loans_received","Аркадійович","Спітковский","FALSE","",2015-01-08,"","","Дмитро","1","","FALSE","","FALSE","",30000,"","","FALSE","FALSE","USD","","j","","","1477513141011","Отримані позики","Громадянин України","1477513141011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Зубик Володимир Володимирович",NA,842016.69
"Зубик Володимир Володимирович","Верховна Рада України","Народний депутат України","nacp_426e307e-8117-44a6-a1cd-b80a3757c364","Зубик","TRUE","Володимирович",2018-03-07,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_426e307e-8117-44a6-a1cd-b80a3757c364","Володимир","","loans_received","Аркадійович","Спітковський","FALSE","",2015-07-10,"","","Дмитро","1","","FALSE","","FALSE","",400000,"","","FALSE","FALSE","UAH","","j","","","1477513685405","Отримані позики","Громадянин України","1477513685405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Зубик Володимир Володимирович",NA,400000
"Івченко Вадим Євгенович","Верховна Рада України","Народний депутат Верховної Ради України","nacp_d89aaa0d-772b-464c-9ac0-2d6218916e92","Івченко","FALSE","Євгенович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_d89aaa0d-772b-464c-9ac0-2d6218916e92","Вадим","","other","","","FALSE","",2015-02-13,"ПАТ ""Державний ощадний банк України""","","","1","","","","FALSE","",189445,"","","FALSE","FALSE","UAH","","j","00032129","Згідно ухвали суду","1521945676674","Інше","Юридична особа, зареєстрована в Україні","1521945676674",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Івченко Вадим Євгенович",NA,189445
"Ільюк Артем Олександрович","Верховна Рада України","Народний депутат України","nacp_6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794","Ільюк","FALSE","Олександрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794","Артем","","loans_paid","","","FALSE","",2017-12-31,"ПАТ ""КРЕДОБАНК""","","","1","","","","FALSE","",47545,"","","FALSE","FALSE","UAH","","j","09807862","","1490796820184","Розмір сплачених коштів в рахунок основної суми позики (кредиту)","Юридична особа, зареєстрована в Україні","1490796820184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ільюк Артем Олександрович",NA,47545
"Ільюк Артем Олександрович","Верховна Рада України","Народний депутат України","nacp_6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794","Ільюк","FALSE","Олександрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794","Артем","","loans_paid","","","FALSE","",2017-12-31,"ПАТ ""КРЕДОБАНК""","","","1","","","","FALSE","",90443,"","","FALSE","FALSE","UAH","","j","09807862","","1490796923164","Розмір сплачених коштів в рахунок процентів за позикою (кредитом)","Юридична особа, зареєстрована в Україні","1490796923164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ільюк Артем Олександрович",NA,90443
"Ільюк Артем Олександрович","Верховна Рада України","Народний депутат України","nacp_6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794","Ільюк","FALSE","Олександрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794","Артем","","loans_received","","","FALSE","",2016-07-18,"Публічне акціонерне товаристов ""КРЕДОБАНК""","","","1","","","","TRUE","",485361,"","","FALSE","FALSE","UAH","","j","09807862","","1490796417830","Отримані кредити","Юридична особа, зареєстрована в Україні","1490796417830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ільюк Артем Олександрович",NA,485361
"Ільюк Артем Олександрович","Верховна Рада України","Народний депутат України","nacp_6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794","Ільюк","FALSE","Олександрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794","Артем","","loans_received","Володимирович","Тимошин","FALSE","",2017-12-28,"","","Володимир","1","","FALSE","","FALSE","",2235877,"","","FALSE","FALSE","UAH","","j","","","1522134480497","Отримані позики","Громадянин України","1522134480497",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ільюк Артем Олександрович",NA,2235877
"Іонова Марія Миколаївна","Верховна Рада України","Народний депутат України","nacp_3fccd84f-93a4-4cdf-83b3-c105c6ed0318","Іонова","FALSE","Миколаївна",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3fccd84f-93a4-4cdf-83b3-c105c6ed0318","Марія","","pension","","","FALSE","",2003-01-01,"","","","1477485871786","","","","FALSE","",673613,"","","TRUE","FALSE","UAH","","1477485871786","","","1477656913162","Зобов'язання за договорами недержавного пенсійного забезпечення","","1477656913162",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"Василик Мирон Теодорович","чоловік",673613
"Іщейкін Костянтин Євгенович","Верховна рада України","Народний депутат України","nacp_b2b0eefa-b87b-4edb-ad24-94252939e8d0","Іщейкін","FALSE","Євгенович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b2b0eefa-b87b-4edb-ad24-94252939e8d0","Костянтин","","loans_received","","","FALSE","",NA,"ПАТ КБ ""Приват банк""","","","1490192219121","","","","FALSE","",100000,"","","FALSE","FALSE","UAH","","j","14360570","","1522075955784","Отримані кредити","Юридична особа, зареєстрована в Україні","1522075955784",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"Іщейкіна Юлія Олексіївна","дружина",100000
"Каплін Сергій Миколайович","Верховна Рада України","Народний депутат України","nacp_a846486d-5293-4496-8d15-e5383f19ed06","Каплін","FALSE","Миколайович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a846486d-5293-4496-8d15-e5383f19ed06","Сергій","","other","","","FALSE","",2013-12-19,"ПАТ ""Полтава-банк""","","","1","","","","FALSE","",99067,"","","FALSE","FALSE","UAH","","j","09807595","виплата коштів по виконавчому листу","1478100812512","Інше","Юридична особа, зареєстрована в Україні","1478100812512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Каплін Сергій Миколайович",NA,99067
"Карпунцов Валерій Віталійович","Верховна Рада України","народний депутат України","nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Карпунцов","FALSE","Віталійович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Валерій","","insurance","","","FALSE","",2017-12-12,"","","","1","","","","FALSE","",150,"","","FALSE","FALSE","UAH","","1","","","1476352456410","Зобов'язання за договорами страхування","","1476352456410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Карпунцов Валерій Віталійович",NA,150
"Карпунцов Валерій Віталійович","Верховна Рада України","народний депутат України","nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Карпунцов","FALSE","Віталійович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Валерій","","insurance","","","FALSE","",2017-05-15,"","","","1476347758860","","","","FALSE","",720,"","","FALSE","FALSE","UAH","","1476347758860","","","1476952352439","Зобов'язання за договорами страхування","","1476952352439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Карпунцова Ольга Іванівна","дружина",720
"Карпунцов Валерій Віталійович","Верховна Рада України","народний депутат України","nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Карпунцов","FALSE","Віталійович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Валерій","","insurance","","","FALSE","",2017-11-09,"","","","1476347758860","","","","FALSE","",9000,"","","FALSE","FALSE","UAH","","1476347758860","","","1476953547124","Зобов'язання за договорами страхування","","1476953547124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Карпунцова Ольга Іванівна","дружина",9000
"Карпунцов Валерій Віталійович","Верховна Рада України","народний депутат України","nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Карпунцов","FALSE","Віталійович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Валерій","","insurance","","","FALSE","",2017-03-17,"","","","1476347758860","","","","FALSE","",1577,"","","FALSE","FALSE","UAH","","1476347758860","","","1476952245474","Зобов'язання за договорами страхування","","1476952245474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Карпунцова Ольга Іванівна","дружина",1577
"Карпунцов Валерій Віталійович","Верховна Рада України","народний депутат України","nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Карпунцов","FALSE","Віталійович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Валерій","","insurance","","","FALSE","",2017-05-11,"","","","1","","","","FALSE","",192,"","","FALSE","FALSE","UAH","","1","","","1476352383980","Зобов'язання за договорами страхування","","1476352383980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Карпунцов Валерій Віталійович",NA,192
"Карпунцов Валерій Віталійович","Верховна Рада України","народний депутат України","nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Карпунцов","FALSE","Віталійович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Валерій","","insurance","","","FALSE","",2017-05-29,"","","","1476347758860","","","","FALSE","",360,"","","FALSE","FALSE","UAH","","1476347758860","","","1476952435285","Зобов'язання за договорами страхування","","1476952435285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Карпунцова Ольга Іванівна","дружина",360
"Карпунцов Валерій Віталійович","Верховна Рада України","народний депутат України","nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Карпунцов","FALSE","Віталійович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_32f56ec0-bac9-486f-b9f8-3a3c4b9b0650","Валерій","","insurance","","","FALSE","",2017-10-17,"","","","1476347758860","","","","FALSE","",930,"","","FALSE","FALSE","UAH","","1476347758860","","","1476952669030","Зобов'язання за договорами страхування","","1476952669030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Карпунцова Ольга Іванівна","дружина",930
